Denumire medicament,Substanta activa,Lista de compensare,Cod medicament,Formă farmaceutica,Cod ATC,Mod de prescriere,Concentratie,Forma de ambalare,Nume detinator APP,Tara detinator APP,Cantitate pe forma ambalare,Preț maximal al medicamentului raportat la forma de ambalare,Pret maximal al medicamentului raportat la UT,"Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 100% din prețul de referinta","Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiaza de compensare 90% - sublista A, 50% - sublista B, 20% - sublista D din prețul de referinta","Contribuție maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 90% din pretul de referinta, pentru pensionari cu venituri de pana la 1.299 lei/luna inclusiv"
OMEZ 10 mg,OMEPRAZOLUM,A,W64020007,CAPS. GASTROREZ.,A02BC01,P6L,10mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 CAPS. GASTROREZ.,DR. REDDY'S LABORATORIES,ROMANIA,30,1986,0662000,0410094,0435285,
OMEPRAZOL-RICHTER 20 mg,OMEPRAZOLUM,A,W42129001,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 2 BLIST. PVC-AL-PA/AL X 7 CAPS. GASTROREZ.,GEDEON RICHTER ROMANIA SA,ROMANIA,14,1028,0734285,0230473,0280855,
OMEPRAZOL 20 mg,OMEPRAZOLUM,A,W51990001,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 3 BLIST. AL/PVC X 10 CAPS. GASTROREZ.,SLAVIA PHARM SRL,ROMANIA,30,2720,0906666,0402854,0453236,
OMEPRAZOL TERAPIA 20 mg,OMEPRAZOLUM,A,W52044001,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 3 BLIST. AL/PVC X 10 CAPS. GASTROREZ.,TERAPIA SA,ROMANIA,30,2504,0834666,0330854,0381236,
OMEPRAZOL ARENA 20 mg,OMEPRAZOLUM,A,W52887001,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 3 BLIST. AL/PVC X 10 CAPS. GASTROREZ.,ARENA GROUP S.A.,ROMANIA,30,2696,0898666,0394854,0445236,
OMEPRAZOL FARMEX 20 mg,OMEPRAZOLUM,A,W53138001,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 3 BLIST. PVC/AL X 10 CAPS. GASTROREZ.,FARMEX COMPANY SRL,ROMANIA,30,2723,0907666,0403854,0454236,
OMEPRAZOL ROMPHARM 20 mg,OMEPRAZOLUM,A,W55651001,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 3 BLIST. PVC/AL X 10 CAPS. GASTROREZ.,ROMPHARM COMPANY SRL,ROMANIA,30,2374,0791333,0287521,0337903,
OMEPRAZOL ATB 20 mg,OMEPRAZOLUM,A,W60470001,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 2 FOLII AL/PE X 10 CAPS. GASTR.,ANTIBIOTICE S.A.,ROMANIA,20,1815,0907500,0403688,0454070,
OMEPRAZOL ZENTIVA 20 mg,OMEPRAZOLUM,A,W60303002,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 1 FLAC. DIN STICLA X 28 CAPS. GASTROREZ.,ZENTIVA K.S.,CEHIA,28,1131,0403928,0000000,0040393,
OMEPRAZOL ZENTIVA 20 mg,OMEPRAZOLUM,A,W59906022,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU 2 BLISTERE DIN OPA-AL-PEÎD-PE-DESICANT-PEÎD/AL A CATE 14 CAPSULE GASTROREZISTENTE,"ZENTIVA, K.S.",REPUBLICA CEHA,28,1131,0403928,0000000,0040393,
OMEPRAZOL ZENTIVA 20 mg,OMEPRAZOLUM,A,W59906021,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU 4 BLISTERE DIN OPA-AL-PEÎD-PE-DESICANT-PEÎD/AL A CATE 7 CAPSULE GASTROREZISTENTE,"ZENTIVA, K.S.",REPUBLICA CEHA,28,1131,0403928,0000000,0040393,
OMEPRAZOL LPH 20 mg,OMEPRAZOLUM,A,W42284004,CAPS. GASTROREZ.,A02BC01,P-6L,20mg,CUTIE X 3 BLIST. PVC-AL-OPA/AL X 10 CAPS. GASTROREZ,LABORMED PHARMA SA,ROMANIA,30,2723,0907666,0403854,0454236,
OMERAN 20 mg,OMEPRAZOLUM,A,W61506002,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU 4 BLIST. AL/AL X 7 CAPS. GASTROREZ.,GLAXOSMITHKLINE (GSK) SRL,ROMANIA,28,2541,0907500,0403688,0454070,
OMEZ 20 mg,OMEPRAZOLUM,A,W64021007,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 CAPS. GASTROREZ.,DR. REDDY'S LABORATORIES,ROMANIA,30,2379,0793000,0289188,0339570,
OMEPRAZOL DR. REDDY'S 20 mg,OMEPRAZOLUM,A,W64023001,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU 3 FOLII AL/PE-PE/AL X 10 CAPS. GASTROREZ.,DR. REDDY'S LABORATORIES,ROMANIA,30,2379,0793000,0289188,0339570,
OMEPRAZOL AUROBINDO 20 mg,OMEPRAZOLUM,A,W66010005,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU BLIST. PA-AL-PVC/AL X 28 CAPS. GASTROREZ.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,28,1051,0375357,0000000,0037536,
OMEPRAZOL ZENTIVA 20 mg,OMEPRAZOLUM,A,W59906030,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU 4 BLIST. OPA-AL-PVC/AL X 7 CAPS. GASTROREZ.,"ZENTIVA, K.S.",REPUBLICA CEHA,28,1129,0403214,0000000,0040322,
OMEPRAZOL ZENTIVA 20 mg,OMEPRAZOLUM,A,W59906031,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU 2 BLIST. OPA-AL-PVC/AL X 14 CAPS. GASTROREZ.,"ZENTIVA, K.S.",REPUBLICA CEHA,28,1129,0403214,0000000,0040322,
OMERAN 20 mg,OMEPRAZOLUM,A,W61506003,CAPS. GASTROREZ.,A02BC01,P6L,20mg,CUTIE CU 5 BLIST. AL/AL X 6 CAPS. GASTROREZ.,GLAXOSMITHKLINE (GSK) SRL,ROMANIA,30,2552,0850666,0346854,0397236,
ORTANOL 40 mg,OMEPRAZOLUM,A,W14125001,CAPS. GASTROREZ.,A02BC01,P-6L,40mg,CUTIE X 1 BLIST. AL/AL X 7 CAPS. GASTROREZ.,LEK PHARMACEUTICALS D.D.,SLOVENIA,7,584,0834285,0000000,0083429,
